"Data.Base","id_titulo","taxa_compra","taxa_venda","pu_compra","pu_venda"
2025-08-29,"Tesouro Selic 2026",-0.02,-0.01,17259.54,17249.13
2025-08-29,"Tesouro Selic 2028",0.05,0.06,17236.71,17222.84
2025-08-29,"Tesouro Selic 2031",0.11,0.12,17158.86,17139.91
2025-08-29,"Tesouro Selic 2029",0.09,0.1,17205.01,17189.45
2025-08-29,"Tesouro Selic 2027",0.03,0.04,17250.98,17238.83
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2045",7.27,7.39,4050.29,4000.12
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2026",9.87,9.99,4398.12,4392.5
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2060",7.2,7.32,3891.52,3832.27
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2055",7.17,7.29,4001.86,3944.05
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2040",7.3,7.42,4046.34,4002.05
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2030",7.77,7.89,4244.13,4223.14
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2035",7.51,7.63,4176.88,4142.79
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2032",7.68,7.8,4165.85,4138.82
2025-08-29,"Tesouro IPCA+ com Juros Semestrais 2050",7.18,7.3,3965.12,3909.97
2025-08-29,"Tesouro IPCA+ 2050",6.98,7.1,851.31,827.84
2025-08-29,"Tesouro IPCA+ 2040",7.16,7.28,1622.42,1595.39
2025-08-29,"Tesouro IPCA+ 2029",7.75,7.87,3450.23,3435.56
2025-08-29,"Tesouro IPCA+ 2045",7.14,7.26,1175.67,1150
2025-08-29,"Tesouro IPCA+ 2035",7.43,7.55,2274.17,2249.47
2025-08-29,"Tesouro IPCA+ 2026",9.87,9.99,4147.11,4141.74
2025-08-29,"Tesouro IGPM+ com Juros Semestrais 2031",7.78,7.9,7685.69,7645.73
2025-08-28,"Tesouro Selic 2027",0.03,0.04,17241.55,17229.42
2025-08-28,"Tesouro Selic 2031",0.11,0.12,17149.51,17130.59
2025-08-28,"Tesouro Selic 2026",-0.02,-0.01,17250.05,17239.62
2025-08-28,"Tesouro Selic 2028",0.05,0.06,17227.32,17213.44
2025-08-28,"Tesouro Selic 2029",0.09,0.1,17196.11,17180.56
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2030",7.75,7.87,4246.79,4225.41
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2040",7.27,7.39,4056.74,4011.94
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2050",7.13,7.25,3987.61,3931.63
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2026",9.94,10.06,4394.39,4388.37
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2060",7.15,7.27,3915.84,3855.62
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2032",7.68,7.8,4165.15,4137.77
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2035",7.49,7.61,4181.81,4147.31
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2045",7.22,7.34,4070.6,4019.69
2025-08-28,"Tesouro IPCA+ com Juros Semestrais 2055",7.13,7.25,4020.65,3962.03
2025-08-25,"Tesouro IPCA+ com Juros Semestrais 2055",7.19,7.31,3988.98,3931.03
2025-08-25,"Tesouro IPCA+ com Juros Semestrais 2045",7.27,7.39,4046.95,3996.39
2025-08-25,"Tesouro IPCA+ com Juros Semestrais 2030",7.8,7.92,4235.22,4213.84
2025-08-25,"Tesouro IPCA+ 2045",7.13,7.25,1176.87,1151.05
2025-08-25,"Tesouro IPCA+ 2040",7.15,7.27,1623.36,1596.14
2025-08-25,"Tesouro IPCA+ 2035",7.41,7.53,2276.33,2251.36
2025-08-25,"Tesouro IPCA+ 2026",10.13,10.25,4132.6,4126.79
2025-08-25,"Tesouro IPCA+ 2050",7.01,7.13,844.74,821.38
2025-08-25,"Tesouro IPCA+ 2029",7.78,7.9,3443.6,3428.6
2025-08-25,"Tesouro IGPM+ com Juros Semestrais 2031",7.82,7.94,7652.89,7614.77
2025-08-22,"Tesouro Selic 2027",0.03,0.04,17202.61,17190.46
2025-08-22,"Tesouro Selic 2031",0.11,0.12,17111.93,17093.02
2025-08-22,"Tesouro Selic 2028",0.05,0.06,17189.03,17175.15
2025-08-22,"Tesouro Selic 2026",-0.01,0,17211.7,17201.28
2025-08-22,"Tesouro Selic 2029",0.09,0.1,17159.09,17143.54
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2055",7.23,7.35,3968.88,3911.68
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2030",7.88,8,4220.59,4199.59
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2040",7.34,7.46,4027.36,3983.21
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2050",7.24,7.36,3933.52,3878.9
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2060",7.25,7.37,3862.79,3804.11
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2026",10.19,10.31,4379.09,4373.31
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2035",7.56,7.68,4158.26,4124.23
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2045",7.32,7.44,4025.2,3975.33
2025-08-22,"Tesouro IPCA+ com Juros Semestrais 2032",7.81,7.93,4132.53,4105.63
2025-08-22,"Tesouro IPCA+ 2026",10.19,10.31,4128.98,4123.47
2025-08-22,"Tesouro IPCA+ 2035",7.46,7.58,2265.56,2240.89
2025-08-22,"Tesouro IPCA+ 2029",7.85,7.97,3434.47,3419.76
2025-08-22,"Tesouro IPCA+ 2050",7.04,7.16,838.69,815.56
2025-08-22,"Tesouro IPCA+ 2045",7.18,7.3,1165.88,1140.4
2025-08-22,"Tesouro IPCA+ 2040",7.18,7.3,1616.22,1589.25
2025-08-22,"Tesouro IGPM+ com Juros Semestrais 2031",7.9,8.02,7626.49,7587.27
2025-08-21,"Tesouro Selic 2027",0.03,0.04,17193,17180.87
2025-08-21,"Tesouro Selic 2026",-0.01,0,17202.25,17191.82
2025-08-21,"Tesouro Selic 2028",0.05,0.06,17179.53,17165.65
2025-08-21,"Tesouro Selic 2031",0.11,0.12,17102.33,17083.43
2025-08-21,"Tesouro Selic 2029",0.09,0.1,17149.7,17134.14
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2035",7.58,7.7,4151.96,4117.66
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2032",7.8,7.92,4133.97,4106.71
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2026",10.21,10.33,4377.14,4371.01
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2045",7.36,7.48,4008.04,3958.15
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2050",7.29,7.41,3910.25,3855.8
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2040",7.37,7.49,4015.77,3971.46
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2030",7.88,8,4219.8,4198.47
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2055",7.27,7.39,3949.24,3892.18
2025-08-21,"Tesouro IPCA+ com Juros Semestrais 2060",7.29,7.41,3842.64,3784.17
2025-08-21,"Tesouro IPCA+ 2035",7.48,7.6,2261.11,2236.3
2025-08-21,"Tesouro IPCA+ 2040",7.22,7.34,1607.01,1580.07
2025-08-21,"Tesouro IPCA+ 2045",7.23,7.35,1155.09,1129.75
2025-08-21,"Tesouro IPCA+ 2026",10.21,10.33,4127.14,4121.29
2025-08-21,"Tesouro IPCA+ 2029",7.86,7.98,3432.66,3417.68
2025-08-21,"Tesouro IPCA+ 2050",7.11,7.23,825.07,802.25
2025-08-21,"Tesouro IGPM+ com Juros Semestrais 2031",7.9,8.02,7622.34,7584.34
2025-08-20,"Tesouro Selic 2026",-0.02,-0.01,17193,17182.57
2025-08-20,"Tesouro Selic 2027",0.03,0.04,17183.51,17171.37
2025-08-20,"Tesouro Selic 2029",0.09,0.1,17140.25,17124.7
2025-08-20,"Tesouro Selic 2031",0.1,0.11,17093.03,17074.12
2025-08-20,"Tesouro Selic 2028",0.05,0.06,17169.94,17156.07
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2055",7.22,7.34,3972.07,3914.45
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2035",7.49,7.61,4176.1,4141.52
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2032",7.77,7.89,4139.48,4112.16
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2050",7.23,7.35,3936.5,3881.47
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2030",7.85,7.97,4223.78,4202.4
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2040",7.31,7.43,4036.7,3992.06
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2045",7.31,7.43,4027.72,3977.44
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2026",10.16,10.28,4377.54,4371.4
2025-08-20,"Tesouro IPCA+ com Juros Semestrais 2060",7.24,7.36,3866.15,3807.04
2025-08-20,"Tesouro IPCA+ 2045",7.19,7.31,1163.29,1137.77
2025-08-20,"Tesouro IPCA+ 2050",7.05,7.17,836.43,813.29
2025-08-20,"Tesouro IPCA+ 2026",10.16,10.28,4127.55,4121.69
2025-08-20,"Tesouro IPCA+ 2035",7.38,7.5,2280.98,2255.93
2025-08-20,"Tesouro IPCA+ 2029",7.85,7.97,3432.94,3417.95
2025-08-20,"Tesouro IPCA+ 2040",7.16,7.28,1620.08,1592.9
2025-08-20,"Tesouro IGPM+ com Juros Semestrais 2031",7.87,7.99,7632.17,7593.87
2025-08-19,"Tesouro Selic 2029",0.09,0.1,17130.57,17115.01
2025-08-19,"Tesouro Selic 2028",0.05,0.06,17160.4,17146.54
2025-08-19,"Tesouro Selic 2031",0.1,0.11,17083.54,17064.64
2025-08-19,"Tesouro Selic 2026",-0.01,0,17183.4,17172.98
2025-08-19,"Tesouro Selic 2027",0.03,0.04,17173.92,17161.77
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2055",7.13,7.25,4014.55,3955.89
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2030",7.76,7.88,4237.97,4216.49
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2026",10.12,10.24,4377.58,4371.42
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2040",7.23,7.35,4065.21,4020.12
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2032",7.68,7.8,4158.24,4130.75
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2045",7.23,7.35,4060.12,4009.24
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2050",7.15,7.27,3972.29,3916.46
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2060",7.16,7.28,3904.87,3844.74
2025-08-19,"Tesouro IPCA+ com Juros Semestrais 2035",7.42,7.54,4194.81,4160.01
2025-08-19,"Tesouro IPCA+ 2026",10.12,10.24,4127.61,4121.73
2025-08-19,"Tesouro IPCA+ 2045",7.11,7.23,1180.18,1154.26
2025-08-19,"Tesouro IPCA+ 2035",7.31,7.43,2294.86,2269.63
2025-08-19,"Tesouro IPCA+ 2029",7.77,7.89,3441.49,3426.44
2025-08-19,"Tesouro IPCA+ 2050",6.97,7.09,851.9,828.32
2025-08-19,"Tesouro IPCA+ 2040",7.08,7.2,1637.83,1610.33
2025-08-19,"Tesouro IGPM+ com Juros Semestrais 2031",7.78,7.9,7655.61,7617.14
2025-08-12,"Tesouro IPCA+ com Juros Semestrais 2055",7.03,7.15,4058.36,3998.02
2025-08-12,"Tesouro IPCA+ com Juros Semestrais 2035",7.3,7.42,4223.14,4187.43
2025-08-12,"Tesouro IPCA+ com Juros Semestrais 2032",7.49,7.61,4328.76,4300.32
2025-08-12,"Tesouro IPCA+ 2040",6.98,7.1,1658.62,1630.52
2025-08-12,"Tesouro IPCA+ 2050",6.89,7.01,866.75,842.62
2025-08-12,"Tesouro IPCA+ 2045",7.01,7.13,1200.42,1173.87
2025-08-12,"Tesouro IPCA+ 2029",7.65,7.77,3450.76,3435.17
2025-08-12,"Tesouro IPCA+ 2026",10.09,10.21,4120.96,4114.51
2025-08-12,"Tesouro IPCA+ 2035",7.2,7.32,2314.6,2288.8
2025-08-12,"Tesouro IGPM+ com Juros Semestrais 2031",7.62,7.74,7686.18,7647.35
2025-08-11,"Tesouro Selic 2026",-0.01,0,17126.19,17115.75
2025-08-11,"Tesouro Selic 2031",0.11,0.12,17025.49,17006.61
2025-08-11,"Tesouro Selic 2028",0.05,0.06,17103.5,17089.64
2025-08-11,"Tesouro Selic 2029",0.09,0.1,17072.28,17056.74
2025-08-11,"Tesouro Selic 2027",0.03,0.04,17117.22,17105.07
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2050",7.08,7.2,4135.95,4078.69
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2030",7.66,7.78,4385.37,4362.99
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2060",7.1,7.22,4066.19,4004.56
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2026",10.13,10.25,4505.02,4498
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2040",7.16,7.28,4222.19,4175.96
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2045",7.16,7.28,4086.38,4034.27
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2055",7.07,7.19,4040.77,3980.73
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2035",7.31,7.43,4222.54,4186.69
2025-08-11,"Tesouro IPCA+ com Juros Semestrais 2032",7.54,7.66,4319.83,4291.32
2025-08-11,"Tesouro IPCA+ 2045",7.05,7.17,1192.29,1165.89
2025-08-11,"Tesouro IPCA+ 2026",10.13,10.25,4121.24,4114.63
2025-08-11,"Tesouro IPCA+ 2035",7.2,7.32,2315.85,2289.96
2025-08-11,"Tesouro IPCA+ 2040",7.03,7.15,1647.99,1620.02
2025-08-11,"Tesouro IPCA+ 2050",6.91,7.03,863.21,839.15
2025-08-11,"Tesouro IPCA+ 2029",7.7,7.82,3446.6,3430.9
2025-08-11,"Tesouro IGPM+ com Juros Semestrais 2031",7.68,7.8,7661.95,7623.51
2025-08-08,"Tesouro Selic 2027",0.03,0.04,17107.77,17095.62
2025-08-08,"Tesouro Selic 2026",-0.01,0,17116.74,17106.29
2025-08-08,"Tesouro Selic 2029",0.09,0.1,17062.27,17046.72
2025-08-08,"Tesouro Selic 2031",0.11,0.12,17015.39,16996.5
2025-08-08,"Tesouro Selic 2028",0.05,0.06,17093.96,17080.08
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2032",7.59,7.71,4306.91,4277.48
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2035",7.33,7.45,4215.15,4178.38
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2026",10.15,10.27,4501.97,4493.9
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2045",7.17,7.29,4080.54,4027.57
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2050",7.09,7.21,4129.66,4071.57
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2040",7.17,7.29,4216.8,4169.66
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2030",7.71,7.83,4374.98,4351.63
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2055",7.06,7.18,4044.14,3983.06
2025-08-08,"Tesouro IPCA+ com Juros Semestrais 2060",7.09,7.21,4069.68,4007
2025-08-08,"Tesouro IPCA+ 2029",7.75,7.87,3439.22,3422.75
2025-08-08,"Tesouro IPCA+ 2026",10.15,10.27,4118.42,4110.85
2025-08-08,"Tesouro IPCA+ 2050",6.91,7.03,862.88,838.63
2025-08-08,"Tesouro IPCA+ 2040",7.03,7.15,1647.36,1619.02
2025-08-08,"Tesouro IPCA+ 2045",7.06,7.18,1189.64,1163.02
2025-08-08,"Tesouro IPCA+ 2035",7.21,7.33,2312.85,2286.45
2025-08-08,"Tesouro IGPM+ com Juros Semestrais 2031",7.73,7.85,7644.29,7604.89
2025-08-07,"Tesouro Selic 2029",0.09,0.1,17052.63,17037.09
2025-08-07,"Tesouro Selic 2026",-0.01,0,17107.36,17096.92
2025-08-07,"Tesouro Selic 2027",0.03,0.04,17098.43,17086.28
2025-08-07,"Tesouro Selic 2031",0.11,0.12,17005.93,16987.07
2025-08-07,"Tesouro Selic 2028",0.05,0.06,17084.54,17070.67
2025-08-18,"Tesouro Selic 2028",0.05,0.06,17150.91,17137.04
