"Data.Base","taxa_compra_Tesouro Selic 2026","taxa_compra_Tesouro Selic 2028","taxa_compra_Tesouro Selic 2031","taxa_compra_Tesouro Selic 2029","taxa_compra_Tesouro Selic 2027","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2045","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2026","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2060","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2055","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2040","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2030","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2035","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2032","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2050","taxa_compra_Tesouro IPCA+ 2050","taxa_compra_Tesouro IPCA+ 2040","taxa_compra_Tesouro IPCA+ 2029","taxa_compra_Tesouro IPCA+ 2045","taxa_compra_Tesouro IPCA+ 2035","taxa_compra_Tesouro IPCA+ 2026","taxa_compra_Tesouro IGPM+ com Juros Semestrais 2031","taxa_compra_Tesouro Selic 2025","taxa_compra_Tesouro Selic 2024","taxa_compra_Tesouro IPCA+ com Juros Semestrais 2024","taxa_compra_Tesouro IPCA+ 2024","taxa_compra_Tesouro Selic 2023","taxa_venda_Tesouro Selic 2026","taxa_venda_Tesouro Selic 2028","taxa_venda_Tesouro Selic 2031","taxa_venda_Tesouro Selic 2029","taxa_venda_Tesouro Selic 2027","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2045","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2026","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2060","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2055","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2040","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2030","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2035","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2032","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2050","taxa_venda_Tesouro IPCA+ 2050","taxa_venda_Tesouro IPCA+ 2040","taxa_venda_Tesouro IPCA+ 2029","taxa_venda_Tesouro IPCA+ 2045","taxa_venda_Tesouro IPCA+ 2035","taxa_venda_Tesouro IPCA+ 2026","taxa_venda_Tesouro IGPM+ com Juros Semestrais 2031","taxa_venda_Tesouro Selic 2025","taxa_venda_Tesouro Selic 2024","taxa_venda_Tesouro IPCA+ com Juros Semestrais 2024","taxa_venda_Tesouro IPCA+ 2024","taxa_venda_Tesouro Selic 2023","pu_compra_Tesouro Selic 2026","pu_compra_Tesouro Selic 2028","pu_compra_Tesouro Selic 2031","pu_compra_Tesouro Selic 2029","pu_compra_Tesouro Selic 2027","pu_compra_Tesouro IPCA+ com Juros Semestrais 2045","pu_compra_Tesouro IPCA+ com Juros Semestrais 2026","pu_compra_Tesouro IPCA+ com Juros Semestrais 2060","pu_compra_Tesouro IPCA+ com Juros Semestrais 2055","pu_compra_Tesouro IPCA+ com Juros Semestrais 2040","pu_compra_Tesouro IPCA+ com Juros Semestrais 2030","pu_compra_Tesouro IPCA+ com Juros Semestrais 2035","pu_compra_Tesouro IPCA+ com Juros Semestrais 2032","pu_compra_Tesouro IPCA+ com Juros Semestrais 2050","pu_compra_Tesouro IPCA+ 2050","pu_compra_Tesouro IPCA+ 2040","pu_compra_Tesouro IPCA+ 2029","pu_compra_Tesouro IPCA+ 2045","pu_compra_Tesouro IPCA+ 2035","pu_compra_Tesouro IPCA+ 2026","pu_compra_Tesouro IGPM+ com Juros Semestrais 2031","pu_compra_Tesouro Selic 2025","pu_compra_Tesouro Selic 2024","pu_compra_Tesouro IPCA+ com Juros Semestrais 2024","pu_compra_Tesouro IPCA+ 2024","pu_compra_Tesouro Selic 2023","pu_venda_Tesouro Selic 2026","pu_venda_Tesouro Selic 2028","pu_venda_Tesouro Selic 2031","pu_venda_Tesouro Selic 2029","pu_venda_Tesouro Selic 2027","pu_venda_Tesouro IPCA+ com Juros Semestrais 2045","pu_venda_Tesouro IPCA+ com Juros Semestrais 2026","pu_venda_Tesouro IPCA+ com Juros Semestrais 2060","pu_venda_Tesouro IPCA+ com Juros Semestrais 2055","pu_venda_Tesouro IPCA+ com Juros Semestrais 2040","pu_venda_Tesouro IPCA+ com Juros Semestrais 2030","pu_venda_Tesouro IPCA+ com Juros Semestrais 2035","pu_venda_Tesouro IPCA+ com Juros Semestrais 2032","pu_venda_Tesouro IPCA+ com Juros Semestrais 2050","pu_venda_Tesouro IPCA+ 2050","pu_venda_Tesouro IPCA+ 2040","pu_venda_Tesouro IPCA+ 2029","pu_venda_Tesouro IPCA+ 2045","pu_venda_Tesouro IPCA+ 2035","pu_venda_Tesouro IPCA+ 2026","pu_venda_Tesouro IGPM+ com Juros Semestrais 2031","pu_venda_Tesouro Selic 2025","pu_venda_Tesouro Selic 2024","pu_venda_Tesouro IPCA+ com Juros Semestrais 2024","pu_venda_Tesouro IPCA+ 2024","pu_venda_Tesouro Selic 2023"
2022-01-03,NA,NA,NA,NA,0.25,5.45,5.03,NA,5.39,5.35,5.16,5.22,NA,5.41,NA,NA,NA,5.24,5.24,5.01,5.16,0.14,0.11,5.2,5.18,0.05,NA,NA,NA,NA,0.26,5.57,5.15,NA,5.51,5.47,5.28,5.34,NA,5.53,NA,NA,NA,5.36,5.36,5.13,5.28,0.15,0.12,5.32,5.3,0.06,NA,NA,NA,NA,11098.23,4084.56,4010.64,NA,4167.53,4152.07,4082.28,4089.79,NA,4189.79,NA,NA,NA,1150.16,1914.04,3016.08,8824.9,11191.48,11208.66,3936.96,3312.53,11234.14,NA,NA,NA,NA,11088.54,4022.32,3990.67,NA,4093.31,4096.39,4049.32,4044.28,NA,4120.52,NA,NA,NA,1119.58,1884.45,2999.06,8756.42,11183.97,11201.71,3924.62,3301.38,11228.88
2022-01-04,NA,NA,NA,NA,0.25,5.46,5.12,NA,5.42,5.36,5.21,5.25,NA,5.44,NA,NA,NA,5.26,5.26,5.11,5.21,0.14,0.11,5.19,5.18,0.05,NA,NA,NA,NA,0.26,5.58,5.24,NA,5.54,5.48,5.33,5.37,NA,5.56,NA,NA,NA,5.38,5.38,5.23,5.33,0.15,0.12,5.31,5.3,0.06,NA,NA,NA,NA,11102.2,4081.14,3998.43,NA,4150.9,4149.22,4070.82,4080.41,NA,4174.45,NA,NA,NA,1145.54,1909.97,3004.08,8802.89,11195.29,11212.31,3939.44,3313.86,11237.91,NA,NA,NA,NA,11092.5,4019,3978.55,NA,4077.18,4093.62,4037.99,4035.05,NA,4105.6,NA,NA,NA,1115.1,1880.46,2987.14,8734.67,11187.78,11205.36,3927.1,3302.72,11232.65
2022-01-05,NA,NA,NA,NA,0.25,5.48,5.21,NA,5.46,5.37,5.25,5.3,NA,5.47,NA,NA,NA,5.31,5.31,5.19,5.26,0.14,0.11,5.34,5.33,0.05,NA,NA,NA,NA,0.26,5.6,5.33,NA,5.58,5.49,5.37,5.42,NA,5.59,NA,NA,NA,5.43,5.43,5.31,5.38,0.15,0.12,5.46,5.45,0.06,NA,NA,NA,NA,11106.1,4072.64,3986.31,NA,4128.36,4146.38,4062.02,4063.76,NA,4159.21,NA,NA,NA,1133.4,1898.71,2994.77,8780.98,11199.24,11216.23,3927.61,3302.94,11241.88,NA,NA,NA,NA,11096.41,4010.72,3966.51,NA,4055.3,4090.85,4029.3,4018.67,NA,4090.78,NA,NA,NA,1103.3,1869.39,2977.91,8713.03,11191.73,11209.27,3915.32,3291.85,11236.62
2022-01-06,NA,NA,NA,NA,0.25,5.6,5.36,NA,5.6,5.5,5.43,5.46,NA,5.6,NA,NA,NA,5.47,5.47,5.34,5.43,0.14,0.11,5.5,5.49,0.05,NA,NA,NA,NA,0.26,5.72,5.48,NA,5.72,5.62,5.55,5.58,NA,5.72,NA,NA,NA,5.59,5.59,5.46,5.55,0.15,0.12,5.62,5.61,0.06,NA,NA,NA,NA,11109.85,4014.05,3965.2,NA,4046.95,4089.78,4017.16,4007.61,NA,4088.69,NA,NA,NA,1094.5,1861.5,2976.42,8696.18,11203.23,11220.38,3914.99,3291.31,11246,NA,NA,NA,NA,11100.16,3953.44,3945.54,NA,3976.17,4035.34,3984.91,3963.34,NA,4022.06,NA,NA,NA,1065.47,1832.8,2959.67,8629.1,11195.72,11213.43,3902.76,3280.27,11240.75
2022-01-07,NA,NA,NA,NA,0.25,5.57,5.36,NA,5.57,5.5,5.41,5.48,NA,5.57,NA,NA,NA,5.5,5.5,5.35,5.42,0.14,0.11,5.48,5.47,0.05,NA,NA,NA,NA,0.26,5.69,5.48,NA,5.69,5.62,5.53,5.6,NA,5.69,NA,NA,NA,5.62,5.62,5.47,5.54,0.15,0.12,5.6,5.59,0.06,NA,NA,NA,NA,11113.77,4032.27,3968.4,NA,4067.84,4093.1,4025.54,4003.7,NA,4108.52,NA,NA,NA,1088.16,1855.98,2977.52,8711.78,11207.11,11224.29,3919.93,3295.6,11249.87,NA,NA,NA,NA,11104.07,3969.72,3947.16,NA,3994.94,4037.01,3991.64,3957.94,NA,4039.83,NA,NA,NA,1058.89,1826.64,2959.6,8638.95,11199.6,11217.35,3906.15,3283.24,11244.61
2022-01-10,NA,NA,NA,NA,0.25,5.6,5.38,NA,5.6,5.54,5.44,5.52,NA,5.6,NA,NA,NA,5.55,5.55,5.36,5.45,0.14,0.1,5.57,5.56,0.05,NA,NA,NA,NA,0.26,5.72,5.5,NA,5.72,5.66,5.56,5.64,NA,5.72,NA,NA,NA,5.67,5.67,5.48,5.57,0.15,0.11,5.69,5.68,0.06,NA,NA,NA,NA,11118.53,4018.99,3967,NA,4051.94,4077.08,4019.5,3991.1,NA,4093.72,NA,NA,NA,1076.67,1845.08,2977.43,8700.78,11211.61,11229.16,3913.6,3289.69,11253.91,NA,NA,NA,NA,11108.84,3958.34,3947.36,NA,3981.1,4022.93,3987.26,3947.12,NA,4027.05,NA,NA,NA,1048.15,1816.66,2960.7,8633.77,11204.09,11222.21,3901.4,3278.68,11248.67
2022-01-11,NA,NA,NA,NA,0.25,5.7,5.4,NA,5.71,5.63,5.5,5.61,NA,5.7,NA,NA,NA,5.65,5.65,5.38,5.51,0.14,0.1,5.59,5.59,0.05,NA,NA,NA,NA,0.26,5.82,5.52,NA,5.83,5.75,5.62,5.73,NA,5.82,NA,NA,NA,5.77,5.77,5.5,5.63,0.15,0.11,5.71,5.71,0.06,NA,NA,NA,NA,11122.84,3975.33,3969.52,NA,3994.08,4043.31,4009.77,3964.85,NA,4045.14,NA,NA,NA,1054.69,1824.56,2978.99,8686.7,11215.28,11233.16,3917.32,3291.89,11257.82,NA,NA,NA,NA,11113.15,3915.54,3949.76,NA,3924.77,3989.69,3977.52,3921.14,NA,3979.6,NA,NA,NA,1026.74,1796.42,2962.17,8618.78,11207.77,11226.23,3905,3280.77,11252.57
2022-01-12,NA,NA,NA,NA,0.25,5.72,5.42,NA,5.73,5.67,5.57,5.65,NA,5.73,NA,NA,NA,5.68,5.68,5.4,5.57,0.14,0.1,5.59,5.58,0.05,NA,NA,NA,NA,0.26,5.84,5.54,NA,5.85,5.79,5.69,5.77,NA,5.85,NA,NA,NA,5.8,5.8,5.52,5.69,0.15,0.11,5.71,5.7,0.06,NA,NA,NA,NA,11126.58,3967.39,3968.28,NA,3984.51,4027.76,3993.77,3952.6,NA,4030.9,NA,NA,NA,1048.22,1818.51,2977.72,8661.4,11219.48,11237.35,3919.09,3294.18,11261.92,NA,NA,NA,NA,11116.9,3907.8,3948.54,NA,3915.5,3974.45,3961.69,3909.09,NA,3965.75,NA,NA,NA,1020.45,1790.48,2960.92,8593.78,11211.98,11230.42,3906.78,3283.06,11256.68
2022-01-13,NA,NA,NA,NA,0.25,5.71,5.38,NA,5.71,5.68,5.56,5.65,NA,5.71,NA,NA,NA,5.69,5.69,5.36,5.55,0.14,0.1,5.52,5.51,0.04,NA,NA,NA,NA,0.26,5.83,5.5,NA,5.83,5.8,5.68,5.77,NA,5.83,NA,NA,NA,5.81,5.81,5.48,5.67,0.15,0.11,5.64,5.63,0.05,NA,NA,NA,NA,11131.87,3974.07,3976.05,NA,3997.72,4025.26,3998.1,3954.39,NA,4043.45,NA,NA,NA,1046.39,1817.06,2984.22,8677.59,11224.14,11241.81,3927.01,3301.29,11266.4,NA,NA,NA,NA,11122.18,3914.36,3956.29,NA,3928.38,3972.03,3966.01,3910.88,NA,3978.02,NA,NA,NA,1018.68,1789.05,2967.39,8609.86,11216.64,11234.86,3914.69,3290.16,11261.16
2022-01-14,NA,NA,NA,NA,0.24,5.67,5.36,NA,5.67,5.63,5.51,5.59,NA,5.67,NA,NA,NA,5.62,5.62,5.34,5.51,0.13,0.1,5.51,5.5,0.04,NA,NA,NA,NA,0.25,5.79,5.48,NA,5.79,5.75,5.63,5.71,NA,5.79,NA,NA,NA,5.74,5.74,5.46,5.63,0.14,0.11,5.63,5.62,0.05,NA,NA,NA,NA,11137.09,3996.61,3981.97,NA,4023.63,4049.96,4013.76,3978.42,NA,4068.02,NA,NA,NA,1063.43,1834.48,2988.99,8712.17,11228.53,11245.87,3930.79,3304.52,11270.45,NA,NA,NA,NA,11127.41,3935.32,3961.05,NA,3952.49,3995.15,3980.39,3933.45,NA,4000.87,NA,NA,NA,1034.95,1805.68,2971.29,8636.25,11221.03,11238.94,3917.34,3292.46,11265.22
